Over_Ball,Batting_Team,Bowling_Team,Stadium,Runs_Scored,Extras,Fallen_Wickets,Cumulative_Runs_Scored
2.3,Multan Sultans,Karachi Kings,Multan Cricket Stadium,1,0,0,16
5.6,Quetta Gladiators,Islamabad United,Sheikh Zayed Stadium Abu Dhabi,4,0,1,53
15.1,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,6,0,3,163
0.5,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,1,0,0,4
9.5,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,67
19.1,Islamabad United,Karachi Kings,National Stadium Karachi,1,0,6,125
4.2,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,6,0,2,21
16.4,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,6,112
13.2,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,5,84
0.1,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,0,0,0,0
5.4,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,0,0,1,56
12.4,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,1,0,3,89
7.3,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,56
1.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,0,0
18.1,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,6,0,4,159
18.5,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,4,0,5,143
2.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,2,0,1,11
17.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,4,135
1.5,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,4,0,1,18
17.4,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,4,0,7,129
7.3,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,0,0,2,47
9.1,Quetta Gladiators,Multan Sultans,Sharjah Cricket Stadium,6,0,3,69
8.2,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,64
14.4,Multan Sultans,Karachi Kings,Sheikh Zayed Stadium Abu Dhabi,0,0,5,82
6.2,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,1,0,2,61
14.1,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,1,0,2,106
9.3,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,3,85
1.1,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,0,4
2.1,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,4,0,0,22
15.2,Peshawar Zalmi,Islamabad United,National Stadium Karachi,1,0,2,158
1.5,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,9
2.4,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,0,0,1,15
4.1,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,23
12.2,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,4,0,1,112
6.4,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,41
11.2,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,2,84
8.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,1,42
2.6,Islamabad United,Quetta Gladiators,National Stadium Karachi,1,0,0,25
6.3,Karachi Kings,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,4,31
7.5,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,1,60
0.4,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,4
2.5,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,1,0,0,19
7.6,Lahore Qalandars,Peshawar Zalmi,Sheikh Zayed Stadium Abu Dhabi,1,0,3,43
9.2,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,1,0,1,92
18.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,186
12.1,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,1,0,2,96
5.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,4,0,2,34
2.3,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,4,0,0,21
15.5,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,4,0,2,122
8.5,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,1,0,0,106
19.4,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,5,164
4.1,Multan Sultans,Karachi Kings,Sheikh Zayed Stadium Abu Dhabi,0,0,2,25
15.2,Quetta Gladiators,Karachi Kings,Dubai International Cricket Stadium,1,0,1,132
8.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,60
11.2,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,0,0,1,113
4.4,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,0,0,2,20
9.5,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,1,74
14.6,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,6,79
18.1,Lahore Qalandars,Karachi Kings,National Stadium Karachi,1,0,5,136
3.2,Lahore Qalandars,Karachi Kings,Sharjah Cricket Stadium,4,0,1,34
0.6,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,0,0,0,4
7.2,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,0,51
9.3,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,1,88
6.2,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,1,0,2,46
2.4,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,15
17.8,Quetta Gladiators,Islamabad United,Sheikh Zayed Stadium Abu Dhabi,0,0,5,162
1.4,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,3
2.4,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,2,0,0,17
12.3,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,3,89
9.5,Lahore Qalandars,Karachi Kings,National Stadium Karachi,0,0,2,74
18.7,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,0,1,9,112
5.6,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,0,0,2,25
5.1,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,1,0,2,20
12.6,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,0,0,4,87
8.1,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,6,0,1,61
14.1,Multan Sultans,Karachi Kings,Multan Cricket Stadium,1,0,2,120
10.1,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,0,1,3,59
2.4,Karachi Kings,Islamabad United,National Stadium Karachi,1,0,0,41
17.1,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,0,0,5,124
18.7,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,1,0,5,141
7.1,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,53
5.4,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,4,0,2,30
7.3,Lahore Qalandars,Multan Sultans,Gaddafi Stadium Lahore,1,0,3,65
10.1,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,5,73
7.5,Islamabad United,Lahore Qalandars,Dubai International Cricket Stadium,1,0,0,65
4.2,Islamabad United,Multan Sultans,Rawalpindi Cricket Stadium,4,0,1,57
6.1,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,2,0,2,40
18.1,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,178
11.6,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,2,89
17.3,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,7,125
11.4,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,3,85
7.6,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,0,0,2,58
8.5,Lahore Qalandars,Multan Sultans,National Stadium Karachi,1,0,2,55
5.5,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,1,32
18.3,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,0,1,5,137
19.3,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,1,0,5,129
14.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,6,64
14.5,Islamabad United,Quetta Gladiators,National Stadium Karachi,0,0,4,127
12.4,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,4,0,2,94
15.5,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,5,106
13.3,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,3,80
6.4,Lahore Qalandars,Karachi Kings,National Stadium Karachi,0,0,1,53
18.2,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,4,0,5,160
3.4,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,28
8.6,Peshawar Zalmi,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,3,71
18.2,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,1,0,4,172
7.4,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,2,0,0,79
9.6,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,90
10.6,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,0,0,3,82
10.1,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,0,0,1,79
7.5,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,2,0,0,67
10.1,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,1,0,4,66
16.5,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,3,147
4.5,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,0,0,1,29
7.2,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,0,0,2,33
4.2,Multan Sultans,Quetta Gladiators,Multan Cricket Stadium,1,0,1,25
15.3,Karachi Kings,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,5,72
2.3,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,0,0,0,14
13.1,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,3,94
10.3,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,2,76
4.4,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,33
3.3,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,1,0,0,33
9.5,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,1,0,3,39
15.2,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,5,111
8.5,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,1,0,3,62
0.2,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,0,0,0,0
17.6,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,1,0,4,121
14.5,Peshawar Zalmi,Islamabad United,National Stadium Karachi,0,0,2,147
17.1,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,0,0,4,153
14.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,3,111
13.1,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,0,4,95
0.6,Lahore Qalandars,Multan Sultans,National Stadium Karachi,0,0,0,9
2.1,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,1,17
0.2,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,0,1,0,1
7.3,Peshawar Zalmi,Islamabad United,National Stadium Karachi,1,0,3,47
2.6,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,1,14
16.1,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,2,0,3,142
2.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,10
5.6,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,1,0,0,61
7.1,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,1,0,1,54
15.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,5,116
9.1,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,1,0,3,84
7.2,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,2,54
8.5,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,2,83
14.2,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,0,0,3,112
5.1,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,1,0,1,41
11.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,3,76
12.4,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,4,0,5,78
16.2,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,1,0,7,99
9.3,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,2,73
0.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,0,0
0.6,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,5,0,1,11
11.1,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,0,1,3,80
1.3,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,0,0
12.2,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,3,91
10.2,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,2,82
2.5,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,4,0,0,30
16.3,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,6,79
15.6,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,2,0,7,111
2.4,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,0,0,1,17
9.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,2,72
3.4,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,1,23
16.1,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,7,99
5.6,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,1,0,0,53
1.3,Quetta Gladiators,Karachi Kings,Sharjah Cricket Stadium,0,0,0,8
1.3,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,0,0,0,14
7.2,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,0,61
3.2,Peshawar Zalmi,Islamabad United,National Stadium Karachi,1,0,0,29
5.5,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,0,0,1,42
8.5,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,1,0,0,76
15.6,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,0,0,4,99
19.4,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,8,172
1.5,Islamabad United,Karachi Kings,National Stadium Karachi,4,0,0,16
10.3,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,1,0,3,99
6.1,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,0,0,1,54
8.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,2,54
15.5,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,0,0,2,120
9.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,4,49
16.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,3,111
0.5,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,0,8
17.2,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,1,0,3,122
8.7,Peshawar Zalmi,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,57
18.1,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,1,0,7,129
1.1,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,1,0,0,5
1.4,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,0,0,0,14
10.2,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,0,0,5,63
7.8,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,4,0,1,79
17.6,Lahore Qalandars,Quetta Gladiators,Dubai International Cricket Stadium,0,0,9,108
7.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,1,34
0.1,Multan Sultans,Quetta Gladiators,Multan Cricket Stadium,1,0,0,1
12.2,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,4,82
18.5,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,4,0,3,181
6.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,2,44
9.5,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,75
9.4,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,1,0,1,92
2.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,0,19
10.2,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,0,0,1,88
11.5,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,4,0,1,113
1.5,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,1,0,0,9
5.2,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,1,0,47
11.1,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,2,0,2,80
10.4,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,0,0,4,67
13.6,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,0,1,4,86
2.6,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,1,24
8.4,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,2,53
19.2,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,2,0,5,174
9.5,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,6,0,1,120
2.4,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,4,0,1,22
17.2,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,1,0,2,169
16.5,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,1,0,4,168
15.6,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,6,114
7.3,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,0,0,3,46
9.4,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,74
8.3,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,0,0,2,46
10.4,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,4,81
7.1,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,39
19.6,Karachi Kings,Islamabad United,National Stadium Karachi,0,0,9,161
15.2,Multan Sultans,Karachi Kings,Multan Cricket Stadium,1,1,2,138
2.1,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,0,0,1,19
19.3,Islamabad United,Karachi Kings,National Stadium Karachi,1,0,6,128
12.4,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,1,0,2,113
18.1,Islamabad United,Peshawar Zalmi,Sharjah Cricket Stadium,4,0,7,148
4.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,1,27
8.4,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,55
19.3,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,7,138
11.1,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,2,0,0,122
12.5,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,2,92
0.3,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,1,0,0,1
11.8,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,1,0,2,110
13.3,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,0,0,6,84
10.6,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,1,0,1,106
11.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,3,75
3.2,Lahore Qalandars,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,2,14
11.2,Peshawar Zalmi,Lahore Qalandars,Rawalpindi Cricket Stadium,0,0,6,127
18.6,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,1,0,3,176
11.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,0,3,89
8.5,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,1,0,3,61
15.1,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,3,133
8.6,Islamabad United,Lahore Qalandars,Dubai International Cricket Stadium,0,0,0,73
13.4,Multan Sultans,Karachi Kings,Gaddafi Stadium Lahore,0,0,6,67
0.1,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,0,0
17.1,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,1,0,3,173
18.3,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,4,167
8.3,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,2,52
13.5,Lahore Qalandars,Quetta Gladiators,Dubai International Cricket Stadium,0,0,6,92
8.6,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,1,0,4,55
5.3,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,1,0,1,37
14.1,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,0,0,2,130
6.3,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,4,0,1,50
9.4,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,66
10.5,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,4,0,3,82
2.4,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,0,15
16.4,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,0,0,7,110
2.1,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,0,0,0,7
12.3,Lahore Qalandars,Karachi Kings,National Stadium Karachi,1,0,2,91
13.4,Karachi Kings,Peshawar Zalmi,National Stadium Karachi,0,0,2,130
17.6,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,0,0,6,167
1.6,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,0,0
15.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,4,0,5,115
5.6,Lahore Qalandars,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,4,39
14.2,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,1,0,3,141
6.1,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,4,0,2,46
3.6,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,0,36
12.5,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,0,0,4,90
9.3,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,4,0,0,106
11.1,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,1,0,2,93
7.6,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,3,42
0.3,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,0,0,0,1
13.1,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,1,0,4,93
2.2,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,0,0,1,25
16.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,159
9.7,Peshawar Zalmi,Lahore Qalandars,Gaddafi Stadium Lahore,6,0,3,81
12.1,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,0,0,3,93
19.4,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,0,0,7,158
7.4,Multan Sultans,Karachi Kings,Sheikh Zayed Stadium Abu Dhabi,0,0,2,43
6.1,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,1,0,1,52
16.1,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,1,0,2,121
15.5,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,0,0,4,101
15.5,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,1,0,6,108
10.3,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,1,53
1.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,0,0
3.3,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,0,29
18.3,Islamabad United,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,8,149
7.4,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,2,48
8.1,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,2,67
6.1,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,1,0,1,40
5.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,46
14.6,Islamabad United,Peshawar Zalmi,Rawalpindi Cricket Stadium,0,0,3,149
19.2,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,1,0,5,145
2.2,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,0,0,1,19
12.4,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,2,0,4,60
12.7,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,2,0,0,136
4.4,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,6,0,0,53
15.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,6,80
18.2,Multan Sultans,Islamabad United,Dubai International Cricket Stadium,1,0,7,107
9.2,Peshawar Zalmi,Quetta Gladiators,Sharjah Cricket Stadium,0,0,3,58
13.5,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,122
5.1,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,0,0,2,41
4.3,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,1,0,1,22
14.5,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,6,0,4,115
11.2,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,4,84
2.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,0,0,1,23
2.2,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,0,0,1,22
8.3,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,55
7.1,Quetta Gladiators,Karachi Kings,Sharjah Cricket Stadium,1,0,2,62
12.2,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,81
6.1,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,1,0,0,54
4.2,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,4,0,40
12.3,Peshawar Zalmi,Quetta Gladiators,Sheikh Zayed Stadium Abu Dhabi,0,0,1,91
8.4,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,1,0,2,52
18.5,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,4,169
18.3,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,0,5,2,169
13.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,4,73
18.5,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,1,0,6,175
12.5,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,1,100
0.5,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,0,0,0,1
7.6,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,1,41
11.2,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,2,0,2,72
